Kind_of_Business,period,value
Retail sales and food services excl motor vehicle and parts,2006-10-01,278431.0
Retail sales and food services excl motor vehicle and parts,2006-09-01,273214.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2006-04-01,239485.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2006-08-01,251747.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2006-12-01,314334.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2006-02-01,217346.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2006-01-01,222009.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2006-07-01,240729.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2006-06-01,246890.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2006-03-01,245352.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2006-05-01,253027.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2006-11-01,257860.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2006-10-01,245223.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2006-09-01,238384.0
"Retail sales, total",2006-04-01,316526.0
"Retail sales, total",2006-08-01,339155.0
"Retail sales, total",2006-12-01,380188.0
"Retail sales, total",2006-02-01,282417.0
"Retail sales, total",2006-01-01,286152.0
"Retail sales, total",2006-07-01,325905.0
"Retail sales, total",2006-06-01,330844.0
"Retail sales, total",2006-03-01,326153.0
"Retail sales, total",2006-05-01,337393.0
"Retail sales, total",2006-11-01,323089.0
"Retail sales, total",2006-10-01,312976.0
"Retail sales, total",2006-09-01,310775.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2006-04-01,240346.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2006-08-01,256158.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2006-12-01,309193.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2006-02-01,214965.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2006-01-01,220415.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2006-07-01,245016.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2006-06-01,250245.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2006-03-01,243399.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2006-05-01,255876.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2006-11-01,255577.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2006-10-01,242611.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2006-09-01,237775.0
Shoe stores,2006-04-01,2342.0
Shoe stores,2006-08-01,2645.0
Shoe stores,2006-12-01,3038.0
Shoe stores,2006-02-01,1919.0
Shoe stores,2006-01-01,1724.0
Shoe stores,2006-07-01,2103.0
Shoe stores,2006-06-01,2055.0
Shoe stores,2006-03-01,2133.0
Shoe stores,2006-05-01,2178.0
Shoe stores,2006-11-01,2214.0
Shoe stores,2006-10-01,2157.0
Shoe stores,2006-09-01,2174.0
Sporting goods stores,2006-04-01,2713.0
Sporting goods stores,2006-08-01,3085.0
Sporting goods stores,2006-12-01,4456.0
Sporting goods stores,2006-02-01,2154.0
Sporting goods stores,2006-01-01,2100.0
Sporting goods stores,2006-07-01,2872.0
Sporting goods stores,2006-06-01,3012.0
Sporting goods stores,2006-03-01,2792.0
Sporting goods stores,2006-05-01,2776.0
Sporting goods stores,2006-11-01,2710.0
Sporting goods stores,2006-10-01,2447.0
Sporting goods stores,2006-09-01,2752.0
"Sporting goods, hobby, musical instrument, and book stores",2006-04-01,5665.0
"Sporting goods, hobby, musical instrument, and book stores",2006-08-01,7213.0
"Sporting goods, hobby, musical instrument, and book stores",2006-12-01,11247.0
"Sporting goods, hobby, musical instrument, and book stores",2006-02-01,5171.0
"Sporting goods, hobby, musical instrument, and book stores",2006-01-01,6344.0
"Sporting goods, hobby, musical instrument, and book stores",2006-07-01,5905.0
"Sporting goods, hobby, musical instrument, and book stores",2006-06-01,6113.0
"Sporting goods, hobby, musical instrument, and book stores",2006-03-01,5975.0
"Sporting goods, hobby, musical instrument, and book stores",2006-05-01,5911.0
"Sporting goods, hobby, musical instrument, and book stores",2006-11-01,6855.0
"Sporting goods, hobby, musical instrument, and book stores",2006-10-01,5693.0
"Sporting goods, hobby, musical instrument, and book stores",2006-09-01,6442.0
Supermarkets and other grocery (except convenience) stores,2006-04-01,36338.0
Supermarkets and other grocery (except convenience) stores,2006-08-01,38231.0
Supermarkets and other grocery (except convenience) stores,2006-12-01,41102.0
Supermarkets and other grocery (except convenience) stores,2006-02-01,33851.0
Supermarkets and other grocery (except convenience) stores,2006-01-01,35773.0
Supermarkets and other grocery (except convenience) stores,2006-07-01,38247.0
Supermarkets and other grocery (except convenience) stores,2006-06-01,37510.0
Supermarkets and other grocery (except convenience) stores,2006-03-01,36978.0
Supermarkets and other grocery (except convenience) stores,2006-05-01,38267.0
Supermarkets and other grocery (except convenience) stores,2006-11-01,38171.0
Supermarkets and other grocery (except convenience) stores,2006-10-01,37407.0
Supermarkets and other grocery (except convenience) stores,2006-09-01,36817.0
Used car dealers,2006-04-01,6470.0
Used car dealers,2006-08-01,6653.0
Used car dealers,2006-12-01,5473.0
Used car dealers,2006-02-01,6245.0
Used car dealers,2006-01-01,5811.0
Used car dealers,2006-07-01,6371.0
Used car dealers,2006-06-01,6522.0
Used car dealers,2006-03-01,7009.0
Used car dealers,2006-05-01,6638.0
Used car dealers,2006-11-01,5634.0
Used car dealers,2006-10-01,6146.0
Used car dealers,2006-09-01,6204.0
Used merchandise stores,2006-04-01,891.0
Used merchandise stores,2006-08-01,846.0
Used merchandise stores,2006-12-01,972.0
Used merchandise stores,2006-02-01,777.0
Used merchandise stores,2006-01-01,875.0
Used merchandise stores,2006-07-01,754.0
Used merchandise stores,2006-06-01,848.0
Used merchandise stores,2006-03-01,888.0
Used merchandise stores,2006-05-01,862.0
Used merchandise stores,2006-11-01,907.0
Used merchandise stores,2006-10-01,920.0
Used merchandise stores,2006-09-01,873.0
Warehouse clubs and superstores,2006-04-01,24005.0
Warehouse clubs and superstores,2006-08-01,24737.0
Warehouse clubs and superstores,2006-12-01,33901.0
Warehouse clubs and superstores,2006-02-01,21697.0
Warehouse clubs and superstores,2006-01-01,21710.0
Warehouse clubs and superstores,2006-07-01,24545.0
Warehouse clubs and superstores,2006-06-01,24528.0
Warehouse clubs and superstores,2006-03-01,23380.0
Warehouse clubs and superstores,2006-05-01,24820.0
Warehouse clubs and superstores,2006-11-01,26605.0
Warehouse clubs and superstores,2006-10-01,24515.0
Warehouse clubs and superstores,2006-09-01,23513.0
Women's clothing stores,2006-04-01,3379.0
Women's clothing stores,2006-08-01,2960.0
Women's clothing stores,2006-12-01,5019.0
Women's clothing stores,2006-02-01,2518.0
Women's clothing stores,2006-01-01,2518.0
Women's clothing stores,2006-07-01,2923.0
Women's clothing stores,2006-06-01,3183.0
Women's clothing stores,2006-03-01,3194.0
Women's clothing stores,2006-05-01,3340.0
Women's clothing stores,2006-11-01,3414.0
Women's clothing stores,2006-10-01,3197.0
Women's clothing stores,2006-09-01,3164.0
All other gen. merchandise stores,2005-04-01,3217.0
All other gen. merchandise stores,2005-08-01,3252.0
All other gen. merchandise stores,2005-12-01,5368.0
All other gen. merchandise stores,2005-02-01,2907.0
All other gen. merchandise stores,2005-01-01,2631.0
All other gen. merchandise stores,2005-07-01,3237.0
All other gen. merchandise stores,2005-06-01,3393.0
All other gen. merchandise stores,2005-03-01,3278.0
All other gen. merchandise stores,2005-05-01,3438.0
All other gen. merchandise stores,2005-11-01,3841.0
All other gen. merchandise stores,2005-10-01,3433.0
All other gen. merchandise stores,2005-09-01,3204.0
All other home furnishings stores,2005-04-01,1907.0
All other home furnishings stores,2005-08-01,2252.0
All other home furnishings stores,2005-12-01,3760.0
All other home furnishings stores,2005-02-01,1728.0
All other home furnishings stores,2005-01-01,1804.0
All other home furnishings stores,2005-07-01,2095.0
All other home furnishings stores,2005-06-01,2070.0
All other home furnishings stores,2005-03-01,2005.0
All other home furnishings stores,2005-05-01,1991.0
All other home furnishings stores,2005-11-01,2798.0
All other home furnishings stores,2005-10-01,2141.0
All other home furnishings stores,2005-09-01,2028.0
Automobile and other motor vehicle dealers,2005-04-01,71728.0
Automobile and other motor vehicle dealers,2005-08-01,74885.0
Automobile and other motor vehicle dealers,2005-12-01,64885.0
Automobile and other motor vehicle dealers,2005-02-01,61698.0
Automobile and other motor vehicle dealers,2005-01-01,56755.0
Automobile and other motor vehicle dealers,2005-07-01,81735.0
Automobile and other motor vehicle dealers,2005-06-01,79125.0
Automobile and other motor vehicle dealers,2005-03-01,74577.0
Automobile and other motor vehicle dealers,2005-05-01,72464.0
Automobile and other motor vehicle dealers,2005-11-01,58992.0
Automobile and other motor vehicle dealers,2005-10-01,57772.0
Automobile and other motor vehicle dealers,2005-09-01,63626.0
Automobile dealers,2005-04-01,64571.0
Automobile dealers,2005-08-01,68925.0
Automobile dealers,2005-12-01,60842.0
Automobile dealers,2005-02-01,57407.0
Automobile dealers,2005-01-01,53509.0
Automobile dealers,2005-07-01,75311.0
Automobile dealers,2005-06-01,71603.0
Automobile dealers,2005-03-01,68039.0
Automobile dealers,2005-05-01,65429.0
Automobile dealers,2005-11-01,55055.0
Automobile dealers,2005-10-01,53555.0
Automobile dealers,2005-09-01,58825.0
"Automotive parts, acc., and tire stores",2005-04-01,5941.0
"Automotive parts, acc., and tire stores",2005-08-01,6335.0
"Automotive parts, acc., and tire stores",2005-12-01,5777.0
"Automotive parts, acc., and tire stores",2005-02-01,5247.0
"Automotive parts, acc., and tire stores",2005-01-01,5181.0
"Automotive parts, acc., and tire stores",2005-07-01,5975.0
"Automotive parts, acc., and tire stores",2005-06-01,6253.0
"Automotive parts, acc., and tire stores",2005-03-01,6032.0
"Automotive parts, acc., and tire stores",2005-05-01,5863.0
"Automotive parts, acc., and tire stores",2005-11-01,5853.0
"Automotive parts, acc., and tire stores",2005-10-01,5822.0
"Automotive parts, acc., and tire stores",2005-09-01,5786.0
"Beer, wine, and liquor stores",2005-04-01,2640.0
"Beer, wine, and liquor stores",2005-08-01,2791.0
"Beer, wine, and liquor stores",2005-12-01,4137.0
"Beer, wine, and liquor stores",2005-02-01,2316.0
"Beer, wine, and liquor stores",2005-01-01,2219.0
"Beer, wine, and liquor stores",2005-07-01,2924.0
"Beer, wine, and liquor stores",2005-06-01,2783.0
"Beer, wine, and liquor stores",2005-03-01,2530.0
"Beer, wine, and liquor stores",2005-05-01,2709.0
"Beer, wine, and liquor stores",2005-11-01,2933.0
"Beer, wine, and liquor stores",2005-10-01,2801.0
"Beer, wine, and liquor stores",2005-09-01,2784.0
Book stores,2005-04-01,997.0
Book stores,2005-08-01,2218.0
Book stores,2005-12-01,2257.0
Book stores,2005-02-01,1086.0
Book stores,2005-01-01,2076.0
Book stores,2005-07-01,1214.0
Book stores,2005-06-01,1154.0
Book stores,2005-03-01,1101.0
Book stores,2005-05-01,1120.0
Book stores,2005-11-01,1151.0
Book stores,2005-10-01,1064.0
Book stores,2005-09-01,1554.0
Building mat. and garden equip. and supplies dealers,2005-04-01,29822.0
Building mat. and garden equip. and supplies dealers,2005-08-01,28332.0
Building mat. and garden equip. and supplies dealers,2005-12-01,24557.0
Building mat. and garden equip. and supplies dealers,2005-02-01,19965.0
Building mat. and garden equip. and supplies dealers,2005-01-01,20056.0
Building mat. and garden equip. and supplies dealers,2005-07-01,27368.0
Building mat. and garden equip. and supplies dealers,2005-06-01,30931.0
Building mat. and garden equip. and supplies dealers,2005-03-01,26297.0
Building mat. and garden equip. and supplies dealers,2005-05-01,31644.0
Building mat. and garden equip. and supplies dealers,2005-11-01,26720.0
Building mat. and garden equip. and supplies dealers,2005-10-01,27708.0
Building mat. and garden equip. and supplies dealers,2005-09-01,27402.0
Building mat. and supplies dealers,2005-04-01,25194.0
Building mat. and supplies dealers,2005-08-01,25872.0
Building mat. and supplies dealers,2005-12-01,22414.0
Building mat. and supplies dealers,2005-02-01,18255.0
Building mat. and supplies dealers,2005-01-01,18474.0
Building mat. and supplies dealers,2005-07-01,24677.0
Building mat. and supplies dealers,2005-06-01,26863.0
Building mat. and supplies dealers,2005-03-01,23435.0
Building mat. and supplies dealers,2005-05-01,26549.0
Building mat. and supplies dealers,2005-11-01,24435.0
Building mat. and supplies dealers,2005-10-01,25244.0
Building mat. and supplies dealers,2005-09-01,25192.0
Clothing and clothing access. stores,2005-04-01,15708.0
Clothing and clothing access. stores,2005-08-01,16697.0
Clothing and clothing access. stores,2005-12-01,30276.0
Clothing and clothing access. stores,2005-02-01,13878.0
Clothing and clothing access. stores,2005-01-01,12046.0
Clothing and clothing access. stores,2005-07-01,15218.0
Clothing and clothing access. stores,2005-06-01,15559.0
Clothing and clothing access. stores,2005-03-01,15727.0
Clothing and clothing access. stores,2005-05-01,15989.0
Clothing and clothing access. stores,2005-11-01,18402.0
Clothing and clothing access. stores,2005-10-01,16509.0
Clothing and clothing access. stores,2005-09-01,14960.0
Clothing stores,2005-04-01,11544.0
Clothing stores,2005-08-01,12148.0
Clothing stores,2005-12-01,20280.0
Clothing stores,2005-02-01,9501.0
Clothing stores,2005-01-01,8932.0
Clothing stores,2005-07-01,11267.0
Clothing stores,2005-06-01,11479.0
Clothing stores,2005-03-01,11744.0
Clothing stores,2005-05-01,11502.0
Clothing stores,2005-11-01,13649.0
Clothing stores,2005-10-01,12387.0
Clothing stores,2005-09-01,11142.0
Department stores,2005-04-01,16666.0
Department stores,2005-08-01,17199.0
Department stores,2005-12-01,31086.0
Department stores,2005-02-01,14943.0
Department stores,2005-01-01,14218.0
Department stores,2005-07-01,16323.0
Department stores,2005-06-01,17150.0
Department stores,2005-03-01,16601.0
Department stores,2005-05-01,16947.0
Department stores,2005-11-01,21171.0
Department stores,2005-10-01,17456.0
Department stores,2005-09-01,15506.0
Department stores(excl. discount department stores),2005-04-01,6549.0
Department stores(excl. discount department stores),2005-08-01,6601.0
Department stores(excl. discount department stores),2005-12-01,13636.0
Department stores(excl. discount department stores),2005-02-01,5870.0
Department stores(excl. discount department stores),2005-01-01,5217.0
Department stores(excl. discount department stores),2005-07-01,6005.0
Department stores(excl. discount department stores),2005-06-01,6591.0
Department stores(excl. discount department stores),2005-03-01,6390.0
Department stores(excl. discount department stores),2005-05-01,6648.0
Department stores(excl. discount department stores),2005-11-01,8414.0
Department stores(excl. discount department stores),2005-10-01,6712.0
